STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,GENDER,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,OVER VALID VOTES + NOTA,OVER TOTAL ELECTORS,TOTAL ELECTORS
Tamil Nadu,13,KOLATHUR,31 Sivagnanasam,MALE,71,GENERAL,DMSK,Balloon,25,1,26,0.01,0.01,211833
Tamil Nadu,13,KOLATHUR,32 K. Elumalai,MALE,49,GENERAL,VTVTK,Pestle and mortar,24,0,24,0.01,0.01,211833
Tamil Nadu,13,KOLATHUR,33 A. Raji,MALE,59,GENERAL,IND,Walking stick,22,1,23,0.01,0.01,211833
Tamil Nadu,13,KOLATHUR,34 Farmer Jayaraman. S K J.,MALE,50,GENERAL,IND,Chappals,22,0,22,0.01,0.01,211833
Tamil Nadu,13,KOLATHUR,35 R. Balaji,MALE,36,SC,IND,Carrom board,21,0,21,0.01,0.01,211833
Tamil Nadu,13,KOLATHUR,36 S. Balachandar,MALE,49,SC,IND,Electric pole,13,0,13,0.01,0.01,211833
TURN OUT,,,,,,TOTAL:,,,182393,1658,184051,-,86.88,
Tamil Nadu,14,VILLIVAKKAM,1 Aadhav Arjuna,MALE,43,GENERAL,TVK,Whistle,66149,296,66445,46.97,40.66,163416
Tamil Nadu,14,VILLIVAKKAM,2 Karthik Mohan,MALE,45,GENERAL,DMK,Rising sun,48730,413,49143,34.74,30.07,163416
Tamil Nadu,14,VILLIVAKKAM,3 Vijayakumar S.r,MALE,52,GENERAL,ADMK,Two leaves,19163,175,19338,13.67,11.83,163416
Tamil Nadu,14,VILLIVAKKAM,4 Roshini S,THIRD,30,GENERAL,NTK,Farmer Carrying Plough,4287,23,4310,3.05,2.64,163416
Tamil Nadu,14,VILLIVAKKAM,6 Dhayanidhi D,MALE,30,GENERAL,IND,Electric pole,184,0,184,0.13,0.11,163416
Tamil Nadu,14,VILLIVAKKAM,7 Ajithkumar A,MALE,32,GENERAL,TK,Matchbox,146,1,147,0.1,0.09,163416
